,name,content,reconmended,posted
0,Cheating Death,"
Resident Evil that we deserve.
Capcom. I have only one question. When we should expect Resident Evil 3: Nemesis Remake?",Recommended," 29 January, 2019"
1,Kibblekaze,"
I am finally home again. Raccoon City. Now they just need to make RE3 and Dino Crisis remake.
Also hope to see Silent Hills remake follow up to compete with this again.",Recommended," 24 January, 2019"
2,AUD,"
Probably the best remake game I've ever played",Recommended," 26 January, 2019"
3,⛧ M†ropele ⛧,"
What a way to start off 2019 dude. My god..
Gorgeous graphics and animations... Jesus, this game is looking really impressive. They should remake all the other RE games with this same quality.",Recommended," 24 January, 2019"
4,Chase,"
My only regret playing this is now I want Resident Evil: Code Veronica remake.

Update: Guys, Resident Evil 3 remake is announced. All aboard the hype train.",Recommended," 11 November, 2019"
5,Spliffi,"
Overall Score: 9.3 / 10

Quality 9.7/10 　　 　 　High quality software
Performance 9/10 Smooth as butter on maximum settings @
60fps; rare, micro loading lags; no crashes
Utility 10/10 No bugs or glitches experienced; detailed
settings; option. autosave; Windows only
Controls 10/10 Modern controls, that feel quite similar to
The Evil Within 2; good with kb+m & pad
Gameplay 9/10 　 　 　Worthy next-gen REmake
Challenge 10/10 3 difficulty settings; additional challenges
like playthrough achievements & rankings
Content 8/10 ~15 h for both careers; alt. main character,
weapons and story; hidden arcade mode
Diversity 9/10 A big variety of puzzles, alt. weapons and
costumes; action-centered arcade mode
Immersion 9/10 Intruiging, straightforward plot(s); creepy,
desolate atmosphere and scary moments







💸　 Wait for a sale! Key prices are already 30% off.

⚠️　FYI: the game uses Denuvo (controversial DRM)






1080p, 60hz; , , , Ultra
OS: Windows 10 Professional, 64-Bit
Intel ® Core™ i7-7700K, 4 × 4.2 GHz
Nvidia MSI GTX 1080 (8GB GDDR5X)
16GB DDR4 RAM; old TOSHIBA HDD




| |",Recommended," 1 February, 2019"
6,Mega,"
Outstanding gameplay, level design and storytelling. GOTY material right here. Already sold on future REmakes! (for the love of god give Outbreak some love!)",Recommended," 28 January, 2019"
7,Smoocher,"
I've been waiting for this game for over 16 years and they managed to exceed every single expectation I had, that is no easy task.",Recommended," 26 January, 2019"
8,Tamaster,"
In A Nutshell

🔵 Pros
+ An incredible remake. Everything was remade from scratch using RE7's engine, delivering top-notch graphics quality.
+ Two parallel stories to play: Claire's and Leon's.
+ Plenty of hidden items, weapons and secrets to find, with exploration rewarding attentive and careful players.
+ True old-school survival horror experience: players need to be extremely conservative with resources and avoid combat when possible.
+ Varied, challenging gameplay situations that keep the experience fresh from start to end.
+ Higher difficulties provide considerable challenge even to veterans of the genre.

🔴
- The ""Ink"" mechanic (enabling game saving only with a certain consumable) on Hardcore difficulty should be optional, as not all players might like it, but still would like the additional challenge compared to Normal.

===

First of all, it has to be said that this is a Remake with capital R, as everything was remade from scratch: models, textures, lighting, even the engine was completely changed to the excellent one used for RE7. As far as looks goes, RE2 delivers astonishing graphical detail, giving a true 2019-worthy look to this great game of old.

For those not knowing it, RE2 is an old-school survival horror, quite a bit different from the more recent chapters. Impersonating either Leon or Claire, players will have to carve their way through zombie infested police stations, putrid sewers, and even worse places. What really changes is how they do this, as RE2 is a ""pure"" survival horror game, favoring extreme conservation of resources for when they truly matter (boss fights, or unavoidable normal fights), while encouraging players to be creative and avoid as many unnecessary fights as possible, as one would do in a real apocalypse after all.

Exploration is rewarding and satisfying for the attentive players that do want to explore every corner, open every locker, crack every safe, lock they find, and examine items they find to reveal secrets. Not only this is rewarded with ever-needed resources, but aswell weapons and objects, such as additional inventory space, or weapon upgrades. And believe me when i say until the last bullet will be needed to make it through this horror, so better start looking! Combat features detailed dismemberment mechanics such as mutilating an enemy's legs to slow it down, or hitting weak points to stagger it momentarily and run past.






🎮
Gameplay in RE2 is divided into Exploration, Management and Combat.

Exploration is performed with a 3rd person visual, featuring mouse-based aiming, sprint/walk, and plenty of interactions with the environment such as using specific tools to open pathways, barricade windows, or opening lockers and containers to gather loot. Attention to detail and backtracking are fundamental in this game, as many areas will be only accessible as more and more tools and keys are gathered, so going back to already explored places is actually meaningful even if optional, as it often leads to great rewards for those willing to risk it.

Management is a fundamental mechanic in any survival horror, but especially in RE2. Inventory space, especially at the beginning without expansions, is very limited, so either going back often to the Stash to store items, or a wise optimization of resources are needed at all times. Combining herbs, ammo stacks, and decide what to take or leave behind are things players will do often in this title. With the presence of a global stash, however, it's just a matter of storing surplus into it often, when accessible. However, balancing the loadout in ammo, healing items and weapons is important and doing it wrong can lead to not having enough space for critical items.

📖
The story in RE2 is divided into two parallel campaigns, and its lore is narrated via pieces of information found scattered around, cut-scenes, and dialogues with various characters. The narrative is solid, decently written, and engaging from start to end. Characters have all strong, defined personalities and are interesting aswell. For not being the strong side of these titles, definitely good.

👊
Combat in RE2 is tactical, pretty much slow-paced, and based upon accuracy, preparation, and knowing each enemy's skills and weaknesses. The best offense in this game is... to avoid combat. That's right: try to kill every enemy and soon all ammo will run out, leaving players defenseless and doomed in case of mandatory fights. Instead, careful planning of routes, engagements is vital to save up the spare resources for when they truly matter.

Still, then it comes to it, each weapon has good and diverse feeling to it, while enemies react beautifully to shots, in a shower of gore most of the time. Enemies are considerably tougher than most of nowadays games of the same genres, so beware. This might seem as a CON at first... but once understanding the game's concept, it becomes a good side of it.


💰
Priced at 60€, and lasting (depends on play-style, difficulty and experience GREATLY) around 10-16 hours, this is one of the VERY FEW titles i can recommend getting at FULL PRICE. The quality it delivers is simply too good to be missed.

🔗
This is not an easy game by any means, and players can even be forced to restart because of having wasted too many resources. But once understood, it delivers amazing satisfactions. Challenge level is medium/high.




🎥
Astonishing. RE7's engine, improved even more, with a plethora of modern effects, filters and settings to tweak, and top-quality textures, models, animations and effects, makes for one gorgeous title. Possibly one of the games with the best graphics around, considering it's a remake.

🔊
Excellent ambient sounds, effects, and voice-acting. Directional sounds, also featuring binaural audio for better realism, deliver excellent quality that contributes immensely to immersion.

🔩
The game runs without issues in 1440p with maxed out settings, 3GB textures and 120% quality, on the following config: [i7 4820K, GTX1080, 16GB RAM]. No performance or optimization problems to note.

💻
Enemy AI is not that brilliant considering most enemies are mutants or zombies. As expected. The few ""intelligent"" enemies follow patterns of movement through the maps and chase players on sight.

🏠
Good interface and menu handling, without any issue for the genre.

🐛
Nothing major to report. Great polishing and refinement.


RE2 is really a gem of the old times brought back to life with modern technology. One of the best remade versions I have ever seen on the market, and truly worth every cent.",Recommended," 25 January, 2019"
9,СӉЄҠѺ թѦСӉ,"
9/10
Waiting for RE3 remake...
Waiting for Code Veronica remake...",Recommended," 26 November, 2019"
